title,url,summary,time,author
Thiết bị 'hiểu' đất bằng AI đoạt giải về giải pháp xanh,https://vnexpress.net/thiet-bi-hieu-dat-bang-ai-doat-giai-ve-giai-phap-xanh-4870256.html,Bộ thiết bị đo chất lượng đất bằng AI của Enfarm là một trong ba giải pháp đoạt giải Startup bền vững được yêu thích.,,Không xác định
'Cha đẻ' Internet và các chuyên gia lo con người lệ thuộc AI,https://vnexpress.net/cha-de-internet-va-cac-chuyen-gia-lo-con-nguoi-le-thuoc-ai-4869747.html,"""Cha đẻ"" Internet Vinton Cerf và nhiều chuyên gia lo ngại AI sẽ khiến con người mất đi kỹ các năng cốt lõi, như sự đồng cảm hay tư duy sâu.",,Không xác định
Cơn sốt 'đóng vỉ chân dung' bằng ChatGPT,https://vnexpress.net/con-sot-dong-vi-chan-dung-bang-chatgpt-4869364.html,Tính năng tạo hộp đồ chơi figure với hình ảnh bản thân bằng ChatGPT được nhiều người hào hứng chia sẻ trên mạng xã hội.,,Không xác định
DeepSeek vượt ChatGPT về lượt truy cập mới hàng tháng,https://vnexpress.net/deepseek-vuot-chatgpt-ve-luot-truy-cap-moi-hang-thang-4869278.html,DeepSeek có tốc độ tăng trưởng trên nền tảng web vượt qua ChatGPT và đang là công cụ AI được dùng nhiều thứ ba trên toàn cầu.,,Không xác định
Người dùng ChatGPT tăng vọt nhờ AI tạo ảnh,https://vnexpress.net/nguoi-dung-chatgpt-tang-vot-nho-ai-tao-anh-4868976.html,"Tính năng AI tạo ảnh trên ChatGPT, trong đó có phong cách Ghibli, gây sốt giúp số lượng người dùng chatbot của OpenAI tăng cao và khiến máy chủ quá tải.",,Không xác định
Đối thủ của OpenAI ra AI tạo video 'nhất quán' đầu tiên,https://vnexpress.net/doi-thu-cua-openai-ra-ai-tao-video-nhat-quan-dau-tien-4868915.html,"Công ty Runway cho biết Gen-4 của họ có thể tạo các cảnh và người nhất quán, điều những mô hình AI trước đó chưa làm được.",,Không xác định
,,,,Không xác định
Intel mở khóa dạy về AI tại Việt Nam,https://vnexpress.net/intel-mo-khoa-day-ve-ai-tai-viet-nam-4869221.html,Intel và Trung tâm Đổi mới sáng tạo Quốc gia NIC mở chương trình đào tạo với mục tiêu nâng cao hiểu biết AI cho người dân.,,Không xác định
FPT ứng dụng AI Agents vào các sự kiện chuyên nghiệp,https://vnexpress.net/fpt-ung-dung-ai-agents-vao-cac-su-kien-chuyen-nghiep-4867025.html,"AI Agents của FPT tích hợp Generative AI, mô hình ngôn ngữ lớn, có khả năng tạo hội thoại tự nhiên, nắm tình huống và phản ứng linh hoạt.",,Không xác định
Cách AI hỗ trợ cứu nạn trong động đất Myanmar,https://vnexpress.net/cach-ai-ho-tro-cuu-nan-trong-dong-dat-myanmar-4868364.html,Microsoft kết hợp dữ liệu vệ tinh và khả năng phân tích của AI để tìm kiếm nạn nhân trong trận động đất ở Myanmar.,,Không xác định
